,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,active,iPhone,city_King's Landing,city_Winterfell
32,1,2014-01-05,4.0,2.0,2014-06-10,100.0,0,100.0,10.01,5.0,1,1,0,1
33,1,2014-01-27,4.9,1.0,2014-02-28,0.0,1,100.0,4.48,5.0,0,1,0,1
34,1,2014-01-16,4.9,1.25,2014-01-17,100.0,0,100.0,4.12,5.0,0,0,0,0
35,2,2014-01-17,5.0,1.0,2014-02-21,0.0,0,100.0,14.16,5.0,0,0,1,0
36,2,2014-01-21,4.9,1.0,2014-06-25,0.0,0,50.0,2.43,4.5,1,1,0,0
37,0,2014-01-02,4.0,1.0,2014-04-26,0.0,0,50.0,1.38,5.0,0,1,0,0
38,24,2014-01-22,4.9,1.04,2014-06-30,5.8,1,61.6,4.69,4.8,1,1,1,0
39,1,2014-01-09,4.9,1.0,2014-06-23,0.0,1,100.0,13.73,5.0,1,1,1,0
40,2,2014-01-31,4.0,1.0,2014-02-01,0.0,0,50.0,0.83,5.0,0,1,0,1
41,0,2014-01-18,4.0,1.88,2014-05-10,50.0,0,0.0,3.8,5.0,0,1,0,1
42,1,2014-01-25,4.0,1.5,2014-01-26,100.0,0,0.0,5.72,5.0,0,0,0,1
43,1,2014-01-13,4.5,1.0,2014-03-17,0.0,0,50.0,16.52,5.0,0,1,0,1
44,2,2014-01-22,5.0,1.0,2014-06-18,0.0,1,66.7,1.4,5.0,1,1,1,0
45,3,2014-01-10,4.0,1.0,2014-04-19,0.0,0,50.0,3.0,4.2,0,0,0,0
46,6,2014-01-20,5.0,1.33,2014-01-22,33.3,0,100.0,2.93,5.0,0,1,0,0
47,1,2014-01-18,5.0,1.25,2014-01-19,100.0,0,0.0,3.61,5.0,0,1,0,1
48,4,2014-01-04,4.8,1.0,2014-01-28,0.0,0,100.0,1.75,4.8,0,1,0,1
49,2,2014-01-04,4.4,1.0,2014-06-19,0.0,0,71.4,10.54,4.7,1,1,0,1
50,0,2014-01-04,5.0,1.25,2014-02-15,100.0,0,0.0,3.25,5.0,0,0,0,1
51,4,2014-01-02,4.5,1.0,2014-05-02,0.0,0,52.4,3.24,5.0,0,0,0,1
52,0,2014-01-12,5.0,1.0,2014-06-01,0.0,0,80.0,4.98,5.0,0,1,0,1
53,6,2014-01-17,4.4,1.56,2014-05-16,22.2,1,22.2,3.15,4.8,0,1,0,0
54,2,2014-01-10,3.5,1.5,2014-06-15,50.0,0,50.0,4.94,5.0,1,1,0,1
55,1,2014-01-04,4.0,1.0,2014-01-17,0.0,0,100.0,36.01,5.0,0,1,0,1
56,1,2014-01-09,2.5,1.0,2014-04-29,0.0,0,100.0,23.49,5.0,0,0,0,0
57,0,2014-01-31,4.3,1.0,2014-03-10,0.0,0,66.7,10.21,5.0,0,0,0,0
58,0,2014-01-05,5.0,1.0,2014-04-20,0.0,0,40.0,2.6,5.0,0,1,0,0
59,1,2014-01-25,5.0,1.25,2014-03-29,100.0,0,0.0,6.05,4.5,0,1,0,0
60,1,2014-01-04,4.9,1.0,2014-01-05,0.0,1,0.0,3.01,5.0,0,1,0,0
61,1,2014-01-31,4.9,1.0,2014-02-02,0.0,0,0.0,4.66,5.0,0,1,0,0
62,0,2014-01-30,4.5,1.06,2014-05-09,25.0,0,75.0,4.81,4.8,0,1,1,0
63,3,2014-01-29,4.8,1.03,2014-06-29,5.4,0,54.1,2.21,4.8,1,1,0,0
64,1,2014-01-11,4.9,1.17,2014-05-04,33.3,0,66.7,6.12,5.0,0,0,0,0
65,1,2014-01-20,5.0,1.0,2014-03-19,0.0,0,75.0,10.37,5.0,0,1,0,1
66,1,2014-01-07,5.0,1.0,2014-01-28,0.0,1,100.0,2.42,5.0,0,1,0,1
67,0,2014-01-18,5.0,1.0,2014-06-13,0.0,0,100.0,1.89,5.0,1,0,0,1
68,0,2014-01-01,5.0,1.0,2014-06-15,0.0,1,0.0,4.44,5.0,1,1,1,0
69,5,2014-01-18,3.9,1.09,2014-06-17,10.5,1,63.2,2.61,4.8,1,1,0,0
70,0,2014-01-08,5.0,1.0,2014-04-23,0.0,0,100.0,4.46,5.0,0,1,0,0
71,1,2014-01-01,5.0,1.0,2014-01-01,0.0,0,100.0,1.02,5.0,0,0,0,0
72,1,2014-01-07,5.0,1.0,2014-01-08,0.0,0,100.0,0.0,3.0,0,1,0,0
73,2,2014-01-19,5.0,1.0,2014-01-25,0.0,0,0.0,37.11,5.0,0,1,0,0
74,7,2014-01-24,5.0,1.35,2014-06-10,36.0,0,84.0,2.3,4.9,1,1,1,0
75,0,2014-01-21,5.0,1.0,2014-04-27,0.0,0,0.0,1.45,4.0,0,0,0,1
76,5,2014-01-26,4.8,1.0,2014-01-30,0.0,0,100.0,2.47,5.0,0,1,0,0
77,0,2014-01-01,4.9,1.0,2014-02-03,0.0,0,100.0,19.8,5.0,0,1,0,0
78,1,2014-01-23,5.0,1.0,2014-04-20,0.0,0,0.0,1.82,4.0,0,1,0,1
79,0,2014-01-23,5.0,1.0,2014-06-01,0.0,1,66.7,10.49,5.0,0,0,0,0
80,0,2014-01-12,4.0,1.5,2014-05-03,25.0,0,50.0,3.99,5.0,0,1,0,0
81,1,2014-01-25,4.0,3.5,2014-02-05,100.0,1,100.0,17.89,4.0,0,0,0,1
82,1,2014-01-06,4.0,1.11,2014-06-20,18.2,1,81.8,4.61,4.8,1,1,0,1
83,7,2014-01-03,4.8,1.03,2014-06-29,5.3,0,63.2,2.6,4.7,1,1,1,0
84,0,2014-01-09,4.0,1.0,2014-06-30,0.0,1,100.0,5.01,5.0,1,1,0,0
85,4,2014-01-27,5.0,1.0,2014-04-28,0.0,0,100.0,2.42,4.8,0,1,0,1
86,9,2014-01-20,4.7,1.17,2014-05-25,25.0,1,66.7,3.55,4.9,0,1,1,0
87,6,2014-01-23,5.0,1.0,2014-07-01,0.0,1,67.6,3.06,4.7,1,1,0,1
88,3,2014-01-05,5.0,1.0,2014-06-29,0.0,0,42.9,3.3,4.8,1,1,1,0
89,0,2014-01-19,5.0,1.0,2014-05-18,0.0,1,0.0,4.67,5.0,0,1,0,0
90,1,2014-01-10,5.0,1.0,2014-02-09,0.0,0,0.0,6.28,5.0,0,1,0,1
91,3,2014-01-18,5.0,1.0,2014-06-26,0.0,1,50.0,10.83,5.0,1,0,0,0
92,7,2014-01-02,3.7,1.0,2014-06-27,0.0,0,55.2,1.55,4.5,1,1,0,1
93,5,2014-01-05,4.0,1.0,2014-05-28,0.0,0,80.0,1.13,4.4,0,0,0,1
94,1,2014-01-17,1.0,1.0,2014-01-18,0.0,1,0.0,23.34,4.0,0,1,0,0
95,1,2014-01-23,4.9,1.0,2014-01-23,0.0,1,100.0,1.35,4.0,0,1,0,0
96,11,2014-01-26,4.1,1.0,2014-07-01,1.9,1,76.9,4.89,4.6,1,1,0,1
97,4,2014-01-07,5.0,1.0,2014-01-11,0.0,1,75.0,5.36,5.0,0,0,0,0
98,1,2014-01-18,4.3,1.02,2014-06-19,10.0,0,90.0,4.2,5.0,1,1,1,0
99,73,2014-01-27,4.9,1.0,2014-03-05,0.0,1,89.7,2.86,4.9,0,0,0,0
100,0,2014-01-17,4.9,1.0,2014-06-02,0.0,0,100.0,8.3,5.0,1,1,0,0
101,1,2014-01-18,5.0,1.17,2014-05-25,16.7,0,33.3,6.08,5.0,0,0,0,0
102,8,2014-01-31,4.2,1.0,2014-06-25,0.0,1,50.0,2.15,4.9,1,1,1,0
103,2,2014-01-30,4.4,1.0,2014-06-22,0.0,1,50.0,6.86,4.9,1,1,0,1
104,3,2014-01-01,3.0,1.0,2014-06-28,0.0,1,63.6,4.08,4.9,1,1,0,1
105,0,2014-01-20,5.0,1.0,2014-06-23,0.0,0,0.0,4.99,5.0,1,0,0,1
106,0,2014-01-04,4.9,1.0,2014-04-06,0.0,0,0.0,1.63,5.0,0,0,0,0
107,14,2014-01-07,4.9,1.09,2014-06-29,15.9,0,50.0,10.79,4.9,1,1,1,0
108,1,2014-01-03,3.0,1.0,2014-01-08,0.0,0,100.0,9.14,5.0,0,1,0,0
109,1,2014-01-19,4.9,1.0,2014-04-14,0.0,0,66.7,3.07,5.0,0,0,0,0
110,2,2014-01-25,5.0,1.0,2014-06-11,0.0,1,50.0,5.25,5.0,1,1,0,0
111,1,2014-01-09,4.7,1.0,2014-06-17,0.0,1,100.0,3.81,5.0,1,1,1,0
112,1,2014-01-09,4.8,1.0,2014-06-29,0.0,1,36.4,2.65,5.0,1,1,0,0
113,1,2014-01-01,5.0,1.0,2014-03-29,0.0,0,33.3,10.29,3.7,0,0,0,1
114,1,2014-01-08,4.4,1.05,2014-06-28,9.1,0,63.6,12.32,4.7,1,0,0,1
115,0,2014-01-07,4.0,1.0,2014-04-09,0.0,0,100.0,1.16,4.3,0,1,0,0
116,1,2014-01-10,5.0,1.0,2014-01-11,0.0,0,100.0,0.0,5.0,0,0,0,1
117,1,2014-01-10,2.5,1.63,2014-04-17,50.0,0,100.0,2.64,5.0,0,1,0,0
118,0,2014-01-14,5.0,1.0,2014-06-10,0.0,1,85.7,16.85,5.0,1,1,0,1
119,1,2014-01-11,4.9,2.5,2014-01-12,100.0,0,0.0,4.14,5.0,0,0,0,0
120,3,2014-01-15,4.3,1.06,2014-05-23,11.1,1,88.9,2.67,4.9,0,0,0,0
121,2,2014-01-07,4.9,1.0,2014-06-15,0.0,1,41.2,5.55,4.8,1,1,0,1
122,0,2014-01-17,5.0,1.0,2014-06-23,0.0,0,0.0,1.58,5.0,1,1,1,0
123,0,2014-01-25,5.0,1.0,2014-04-03,0.0,1,33.3,1.78,5.0,0,0,0,0
124,0,2014-01-21,5.0,1.0,2014-06-05,0.0,1,100.0,6.1,4.8,1,1,0,1
125,0,2014-01-10,4.4,1.32,2014-03-16,20.0,1,90.0,8.14,4.6,0,1,0,1
126,2,2014-01-16,5.0,1.0,2014-01-17,0.0,0,100.0,6.04,4.5,0,0,0,0
127,2,2014-01-19,4.0,1.38,2014-06-28,50.0,1,0.0,2.92,5.0,1,0,0,1
128,0,2014-01-26,4.8,1.3,2014-04-20,20.0,0,20.0,2.81,4.3,0,1,0,0
129,3,2014-01-11,5.0,1.0,2014-01-12,0.0,0,0.0,2.0,5.0,0,1,0,1
130,0,2014-01-31,4.5,1.0,2014-05-25,0.0,1,0.0,7.4,5.0,0,0,0,0
131,0,2014-01-12,5.0,1.0,2014-03-27,0.0,0,100.0,1.2,4.0,0,0,0,0
132,0,2014-01-25,5.0,1.0,2014-06-06,0.0,1,100.0,2.64,5.0,1,1,1,0
133,2,2014-01-10,3.8,1.06,2014-06-30,25.0,1,37.5,3.33,4.8,1,1,0,1
134,0,2014-01-10,5.0,1.0,2014-06-11,0.0,0,100.0,2.88,5.0,1,1,1,0
135,1,2014-01-17,4.9,1.75,2014-01-18,100.0,0,100.0,1.99,5.0,0,1,0,1
136,4,2014-01-19,4.9,1.0,2014-06-28,0.0,0,43.8,3.22,4.5,1,1,0,1
137,1,2014-01-02,5.0,1.0,2014-01-03,0.0,0,100.0,13.78,5.0,0,1,0,1
138,0,2014-01-07,4.9,1.0,2014-05-31,0.0,1,0.0,8.2,5.0,0,1,0,0
139,4,2014-01-18,4.4,1.0,2014-06-13,0.0,1,45.5,10.47,4.6,1,1,1,0
140,2,2014-01-18,5.0,1.0,2014-06-08,0.0,1,16.7,2.27,5.0,1,1,1,0
141,3,2014-01-01,3.8,1.06,2014-05-25,8.3,0,41.7,1.68,4.7,0,0,0,1
142,1,2014-01-26,4.5,1.1,2014-06-25,10.0,1,10.0,3.57,4.8,1,1,1,0
143,2,2014-01-17,5.0,1.0,2014-06-23,0.0,0,40.0,11.63,4.8,1,1,1,0
144,0,2014-01-16,5.0,1.0,2014-06-21,0.0,1,100.0,0.95,5.0,1,1,0,1
145,11,2014-01-04,5.0,1.03,2014-06-24,2.3,1,57.5,4.86,4.7,1,1,1,0
146,0,2014-01-14,5.0,1.0,2014-03-28,0.0,1,100.0,4.97,5.0,0,1,0,1
147,7,2014-01-25,3.7,1.09,2014-07-01,3.8,0,57.7,5.44,4.6,1,1,0,1
148,0,2014-01-11,4.9,1.0,2014-05-21,0.0,0,100.0,2.64,5.0,0,1,0,1
149,0,2014-01-10,4.8,1.21,2014-06-29,21.4,1,28.6,3.42,5.0,1,1,0,0
150,10,2014-01-05,4.5,1.14,2014-06-16,22.9,0,62.9,1.64,4.8,1,1,1,0
151,0,2014-01-18,5.0,1.17,2014-06-28,33.3,0,66.7,4.43,4.7,1,1,0,1
152,0,2014-01-31,5.0,1.0,2014-05-24,0.0,1,0.0,4.01,5.0,0,1,0,1
153,2,2014-01-21,4.0,1.0,2014-04-10,0.0,1,50.0,2.1,4.4,0,1,0,1
154,2,2014-01-24,5.0,1.0,2014-01-25,0.0,1,50.0,7.63,5.0,0,1,0,1
155,4,2014-01-31,4.5,1.0,2014-02-02,0.0,0,0.0,1.89,4.5,0,1,0,1
156,1,2014-01-26,4.0,1.0,2014-01-27,0.0,0,100.0,3.18,5.0,0,0,0,1
157,1,2014-01-20,5.0,1.0,2014-05-18,0.0,0,20.0,3.72,5.0,0,0,0,1
158,0,2014-01-11,5.0,1.0,2014-03-28,0.0,0,100.0,3.8,4.7,0,1,0,0
159,1,2014-01-12,5.0,1.0,2014-01-19,0.0,0,0.0,18.03,5.0,0,0,0,0
160,1,2014-01-14,5.0,1.0,2014-06-01,0.0,1,30.0,2.92,4.7,0,1,0,0
161,0,2014-01-12,4.9,1.0,2014-06-25,0.0,1,42.9,2.03,4.7,1,1,1,0
162,1,2014-01-04,5.0,1.0,2014-01-04,0.0,0,0.0,12.6,5.0,0,1,0,0
163,2,2014-01-31,5.0,1.0,2014-06-20,0.0,1,42.9,2.86,5.0,1,1,1,0
164,5,2014-01-05,5.0,1.0,2014-06-28,0.0,1,100.0,18.57,5.0,1,0,1,0
165,2,2014-01-11,5.0,1.63,2014-01-12,100.0,0,0.0,1.5,3.5,0,1,0,0
166,1,2014-01-06,4.9,1.0,2014-01-07,0.0,0,100.0,2.36,5.0,0,0,0,1
167,0,2014-01-20,5.0,1.0,2014-02-22,0.0,0,100.0,1.73,5.0,0,0,0,1
168,2,2014-01-30,5.0,1.0,2014-01-31,0.0,0,100.0,3.37,3.5,0,0,0,0
169,0,2014-01-24,1.0,1.0,2014-03-14,0.0,1,100.0,2.11,5.0,0,1,0,1
170,0,2014-01-09,4.9,1.0,2014-06-17,0.0,0,100.0,5.45,5.0,1,1,0,0
171,1,2014-01-14,4.0,1.0,2014-01-15,0.0,0,100.0,2.2,5.0,0,1,0,1
172,1,2014-01-31,5.0,1.0,2014-04-06,0.0,0,50.0,3.88,5.0,0,0,0,1
173,1,2014-01-07,2.0,1.0,2014-01-15,0.0,0,100.0,9.77,5.0,0,0,0,0
174,3,2014-01-25,4.5,1.0,2014-04-06,0.0,1,0.0,1.75,5.0,0,0,0,0
175,1,2014-01-17,4.0,1.25,2014-01-18,100.0,0,100.0,3.56,5.0,0,1,1,0
176,0,2014-01-28,5.0,1.0,2014-03-18,0.0,0,100.0,20.32,5.0,0,1,0,0
177,0,2014-01-05,5.0,1.0,2014-04-19,0.0,0,75.0,14.37,5.0,0,1,1,0
178,1,2014-01-30,4.0,1.0,2014-02-25,0.0,0,100.0,4.46,2.0,0,1,0,0
179,1,2014-01-15,4.0,1.0,2014-01-27,0.0,0,100.0,12.52,5.0,0,1,0,0
180,2,2014-01-02,3.9,1.02,2014-06-13,3.5,0,69.0,4.2,4.6,1,1,0,0
181,1,2014-01-28,3.0,1.0,2014-03-17,0.0,1,0.0,2.74,4.0,0,0,0,1
182,0,2014-01-01,4.9,1.0,2014-05-06,0.0,1,100.0,18.15,5.0,0,1,0,1
183,1,2014-01-04,5.0,1.0,2014-01-05,0.0,0,0.0,7.54,5.0,0,1,1,0
184,0,2014-01-15,5.0,1.0,2014-05-25,0.0,1,75.0,10.16,5.0,0,1,0,1
185,1,2014-01-01,4.9,1.0,2014-01-26,0.0,1,0.0,26.9,5.0,0,0,0,1
186,1,2014-01-01,5.0,1.05,2014-06-08,20.0,0,20.0,3.15,3.8,1,1,1,0
187,1,2014-01-19,5.0,1.0,2014-01-19,0.0,0,0.0,4.54,5.0,0,1,0,1
188,1,2014-01-11,4.9,1.0,2014-01-14,0.0,0,100.0,0.0,5.0,0,0,0,1
189,2,2014-01-11,5.0,1.0,2014-06-23,0.0,1,33.3,8.91,5.0,1,1,0,1
190,0,2014-01-23,4.0,1.25,2014-05-17,50.0,0,75.0,10.37,4.0,0,0,0,1
191,1,2014-01-29,4.9,1.0,2014-01-29,0.0,0,100.0,1.34,5.0,0,0,0,1
192,3,2014-01-25,4.5,1.0,2014-06-25,0.0,1,20.0,4.42,4.5,1,1,0,1
193,4,2014-01-12,5.0,1.0,2014-01-16,0.0,0,100.0,5.99,3.0,0,1,0,1
194,0,2014-01-09,5.0,1.04,2014-06-21,14.3,1,42.9,1.78,5.0,1,1,1,0
195,1,2014-01-29,5.0,1.0,2014-02-21,0.0,0,100.0,1.27,5.0,0,1,0,1
196,3,2014-01-27,4.0,1.0,2014-06-11,0.0,1,62.5,8.0,4.8,1,1,0,1
197,0,2014-01-08,3.7,2.25,2014-03-02,66.7,0,33.3,3.75,5.0,0,1,0,1
198,1,2014-01-26,5.0,2.0,2014-03-03,50.0,0,0.0,1.38,4.0,0,1,0,1
199,0,2014-01-16,5.0,1.0,2014-05-16,0.0,0,100.0,4.58,5.0,0,1,0,1
200,22,2014-01-11,4.6,1.02,2014-06-29,2.7,1,83.8,2.34,4.6,1,1,0,1
201,1,2014-01-17,5.0,1.0,2014-06-27,0.0,0,100.0,27.32,5.0,1,1,1,0
202,2,2014-01-27,4.6,1.0,2014-05-20,0.0,0,57.1,2.5,4.5,0,1,0,1
203,2,2014-01-12,4.5,1.2,2014-06-29,26.1,1,52.2,6.87,5.0,1,1,1,0
204,0,2014-01-06,5.0,1.0,2014-05-12,0.0,0,66.7,5.28,5.0,0,1,0,1
205,0,2014-01-09,5.0,1.0,2014-05-27,0.0,1,100.0,2.09,5.0,0,1,0,0
206,0,2014-01-22,5.0,1.0,2014-06-18,0.0,0,100.0,3.69,5.0,1,1,0,1
207,3,2014-01-19,5.0,1.0,2014-01-26,0.0,0,0.0,2.52,5.0,0,0,0,0
208,1,2014-01-24,4.9,1.0,2014-01-26,0.0,0,0.0,14.93,5.0,0,1,0,1
209,0,2014-01-06,5.0,1.0,2014-05-09,0.0,0,100.0,11.78,5.0,0,0,0,0
210,0,2014-01-14,5.0,1.0,2014-05-14,0.0,0,100.0,16.88,3.0,0,1,0,1
211,0,2014-01-17,5.0,1.0,2014-06-29,0.0,0,0.0,2.34,5.0,1,1,1,0
212,0,2014-01-10,5.0,1.0,2014-02-10,0.0,0,100.0,0.89,3.0,0,1,0,1
213,1,2014-01-18,5.0,1.0,2014-01-19,0.0,0,0.0,3.07,5.0,0,0,0,1
214,7,2014-01-18,4.3,1.04,2014-06-20,7.1,0,57.1,3.81,4.9,1,1,0,0
215,1,2014-01-24,4.9,1.0,2014-01-24,0.0,1,100.0,19.77,4.0,0,1,0,1
216,0,2014-01-11,4.5,1.5,2014-06-27,50.0,0,50.0,2.7,4.5,1,0,1,0
217,8,2014-01-06,4.7,1.0,2014-06-28,0.0,1,72.2,2.66,4.3,1,1,0,1
218,1,2014-01-20,5.0,1.75,2014-02-16,100.0,0,0.0,2.6,5.0,0,0,0,1
219,0,2014-01-28,4.9,1.0,2014-06-14,0.0,1,100.0,12.21,5.0,1,0,1,0
220,6,2014-01-19,4.9,1.04,2014-06-29,7.7,0,0.0,2.34,4.8,1,1,0,1
221,1,2014-01-25,4.3,1.13,2014-05-18,25.0,1,25.0,10.61,5.0,0,0,0,1
222,0,2014-01-18,4.9,1.0,2014-03-31,0.0,0,0.0,7.89,5.0,0,1,1,0
223,2,2014-01-29,4.9,1.0,2014-05-05,0.0,0,100.0,5.31,5.0,0,1,0,0
224,0,2014-01-18,4.6,1.0,2014-06-29,0.0,0,40.0,1.69,5.0,1,0,0,1
225,3,2014-01-24,4.8,1.0,2014-06-28,0.0,1,39.1,5.04,4.9,1,1,0,0
226,0,2014-01-24,5.0,1.0,2014-06-28,0.0,0,100.0,6.8,5.0,1,1,1,0
227,0,2014-01-06,5.0,1.0,2014-05-22,0.0,1,100.0,17.87,5.0,0,1,0,1
228,1,2014-01-18,5.0,1.0,2014-05-17,0.0,1,0.0,24.43,5.0,0,0,0,0
229,2,2014-01-25,5.0,1.04,2014-06-30,4.9,0,46.3,2.69,4.7,1,1,1,0
230,1,2014-01-06,1.0,1.0,2014-01-06,0.0,1,100.0,18.61,2.0,0,1,0,1
231,1,2014-01-28,4.9,1.0,2014-06-12,0.0,1,100.0,9.31,4.0,1,1,0,1
232,4,2014-01-19,5.0,1.0,2014-06-29,0.0,1,45.5,7.17,4.3,1,1,0,1
233,0,2014-01-05,5.0,1.0,2014-04-30,0.0,0,100.0,12.96,5.0,0,0,0,1
234,0,2014-01-24,4.9,1.0,2014-03-26,0.0,0,100.0,10.68,5.0,0,1,0,1
235,0,2014-01-01,4.0,1.0,2014-06-29,0.0,1,42.9,1.62,5.0,1,0,0,1
236,1,2014-01-24,4.5,1.0,2014-04-16,0.0,0,100.0,7.6,5.0,0,1,0,0
237,6,2014-01-26,5.0,1.09,2014-06-28,18.2,0,45.5,1.53,4.8,1,1,1,0
238,1,2014-01-18,4.9,1.0,2014-01-18,0.0,0,0.0,5.72,5.0,0,0,0,0
239,2,2014-01-26,5.0,1.0,2014-06-21,0.0,0,33.3,16.19,4.3,1,1,0,0
240,0,2014-01-10,5.0,1.0,2014-05-26,0.0,0,100.0,3.28,5.0,0,1,0,0
241,2,2014-01-20,4.9,1.0,2014-06-16,0.0,0,100.0,12.45,4.8,1,0,1,0
242,5,2014-01-25,4.4,1.0,2014-06-26,0.0,1,87.5,6.46,4.9,1,1,0,0
243,0,2014-01-01,5.0,1.13,2014-05-18,25.0,0,25.0,5.05,4.3,0,1,0,1
244,2,2014-01-22,4.5,1.08,2014-05-16,16.7,1,83.3,13.83,4.8,0,1,0,0
245,1,2014-01-08,4.0,1.0,2014-01-09,0.0,0,100.0,3.42,5.0,0,0,0,0
246,0,2014-01-30,5.0,1.38,2014-05-04,50.0,0,50.0,3.04,5.0,0,1,0,1
247,0,2014-01-11,4.9,1.0,2014-03-27,0.0,1,100.0,17.04,5.0,0,1,0,1
248,1,2014-01-26,4.5,1.0,2014-06-21,0.0,0,50.0,19.07,5.0,1,1,0,1
249,2,2014-01-08,5.0,1.0,2014-01-09,0.0,0,100.0,1.13,5.0,0,0,1,0
250,1,2014-01-04,4.9,1.13,2014-03-28,50.0,1,50.0,2.82,4.0,0,0,0,0
251,2,2014-01-26,5.0,1.0,2014-03-03,0.0,0,100.0,8.09,5.0,0,1,0,1
252,1,2014-01-24,4.9,1.15,2014-06-25,20.0,1,100.0,3.34,5.0,1,1,1,0
253,0,2014-01-01,4.9,1.0,2014-06-01,0.0,0,0.0,20.03,5.0,0,0,1,0
254,1,2014-01-16,4.9,1.0,2014-01-17,0.0,0,100.0,5.38,5.0,0,1,0,0
255,1,2014-01-17,5.0,1.0,2014-01-18,0.0,0,0.0,10.73,5.0,0,1,0,0
256,0,2014-01-03,5.0,1.0,2014-04-24,0.0,0,100.0,17.63,5.0,0,1,0,1
257,1,2014-01-10,3.0,1.0,2014-01-11,0.0,1,100.0,6.2,3.0,0,0,0,1
258,0,2014-01-19,2.7,1.0,2014-05-19,0.0,1,45.5,4.56,4.9,0,1,0,0
259,4,2014-01-17,4.2,1.0,2014-06-23,0.0,1,45.5,2.99,4.3,1,1,0,1
260,2,2014-01-10,5.0,1.0,2014-06-26,0.0,0,87.5,3.56,5.0,1,1,0,1
261,0,2014-01-11,5.0,1.0,2014-06-11,0.0,1,100.0,1.59,5.0,1,1,0,1
262,2,2014-01-08,4.0,1.0,2014-01-09,0.0,0,100.0,0.68,5.0,0,1,0,1
263,3,2014-01-31,4.3,1.0,2014-02-10,0.0,1,66.7,9.15,5.0,0,0,1,0
264,5,2014-01-01,4.5,1.0,2014-04-06,0.0,0,44.4,5.76,5.0,0,1,0,0
